"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","44/1665","269/18888",4.55596062349308e-05,0.00308904725530095,0.00261145209300099,"CRLF1/FYN/EPHA3/NOX4/IL7/TGFB1/CADM4/CSF3/AREG/CBL/IL23A/NEDD9/CBLB/EFEMP1/PDCL3/ERRFI1/KDR/EPHB2/LRP4/EPHA7/DDR1/CTF1/ADAM17/ANGPT1/LRRK1/SAMSN1/IL6R/FGFR4/IL31RA/GPRC5B/EFNA1/PTK2/PDGFD/PRKCE/SOCS5/CSPG4/PTPN2/YES1/PTPN11/HCLS1/FES/RELN/SRCIN1/TMEM102",44
"GO:0042063","BP","GO:0042063","gliogenesis","53/1665","346/18888",5.11469032613701e-05,0.00342801830939137,0.00289801509949179,"TMEM98/CNTN1/RNF10/PRKCH/VCAN/GPM6B/KDM4A/LAMB1/PHGDH/CSK/NDRG1/TGFB1/CDK6/PTN/PTPRZ1/CNTNAP1/AREG/SOX6/EIF2B1/SOS1/B4GALT6/CXCR4/LRP1/PLP1/MYRF/SOX9/IL1B/BMP2/NR1D1/PTPRB/WASF3/LARGE1/TLR4/NAB1/FGF5/LEF1/MBD1/DUSP10/GPR17/NOTCH1/TENM4/DISC1/BMERB1/MYD88/CSPG4/NRROS/PTPN11/SCRIB/NOG/PPP1CC/DNER/RELN/PPP3R1",53
"GO:0055008","BP","GO:0055008","cardiac muscle tissue morphogenesis","16/1665","61/18888",5.45471748125799e-05,0.00357542144222181,0.00302262835009337,"COL11A1/FKBP1A/DSP/SMAD7/TGFB1/ENG/WNT5A/BMP2/DLL4/TPM1/SMAD4/NOTCH1/TBX20/HEG1/NOG/RYR2",16
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","44/1665","271/18888",5.45725447363644e-05,0.00357542144222181,0.00302262835009337,"CRLF1/FYN/EPHA3/NOX4/IL7/TGFB1/CADM4/CSF3/AREG/CBL/IL23A/NEDD9/CBLB/EFEMP1/PDCL3/ERRFI1/KDR/EPHB2/LRP4/EPHA7/DDR1/CTF1/ADAM17/ANGPT1/LRRK1/SAMSN1/IL6R/FGFR4/IL31RA/GPRC5B/EFNA1/PTK2/PDGFD/PRKCE/SOCS5/CSPG4/PTPN2/YES1/PTPN11/HCLS1/FES/RELN/SRCIN1/TMEM102",44
"GO:0031400","BP","GO:0031400","negative regulation of protein modification process","62/1665","426/18888",5.87602506289661e-05,0.00380701134908335,0.00321841232392337,"CRY1/FYN/ROCK1/GSK3B/TMED2/FKBP1A/TFAP4/RASSF2/SMAD7/TGFB1/CADM4/TESK1/DKK1/CBL/CORO1C/CBLB/ERRFI1/PPP1R8/TNFAIP3/FKBP1B/NCKAP1L/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/ROCK2/USP44/PWP1/PTPRQ/DUSP6/ARRB2/RPL11/DUSP10/SLIT2/IGFBP3/C9orf72/LATS2/PID1/IMPACT/UBASH3B/ANGPT1/LRRK1/SAMSN1/NCK1/XDH/OXR1/PKIG/PKIA/PRKCE/SOCS5/RPS7/TRIB1/HEG1/PTPN2/CEP63/KIRREL1/NR2F2/DMD/PINX1/SRCIN1",62
"GO:0002064","BP","GO:0002064","epithelial cell development","37/1665","216/18888",6.65784758502666e-05,0.00424075728129542,0.003585097139302,"ROCK1/RARB/GSK3B/ICAM1/JAG1/CDK6/WNT5B/WNT5A/IL1A/TFCP2L1/SDC1/ONECUT2/CXCR4/CDKN1A/SOX9/IL1B/KDR/PODXL/FOXA1/AFDN/ROCK2/FRMD6/MSN/NOTCH1/RILPL2/ROBO4/F11R/STC1/AR/MYD88/HPSE/HEG1/PLCB1/RILPL1/COL27A1/S1PR3/TLR9",37
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","43/1665","265/18888",6.69095643764669e-05,0.00424075728129542,0.003585097139302,"TNIP3/MAP2K7/MEF2C/GSK3B/MMP9/SERPINE1/MAPK8/GIT1/CSF3/HDAC5/NFKB1/WFS1/SASH1/WNT5A/IL1A/TNFAIP3/IL1B/NR1D1/EPHB2/PTPN22/TLR4/CASP1/HADHB/NOTCH1/MMP3/CYRIB/NLRP3/CXCL3/PPBP/CXCL1/CXCL8/PRKCE/MALT1/MYD88/TRIB1/BCR/ARID5A/PDCD1LG2/CARD16/TLR9/TXNIP/NFKBIB/PLSCR3",43
"GO:0007264","BP","GO:0007264","small GTPase-mediated signal transduction","70/1665","500/18888",7.07833014575278e-05,0.00443803689031016,0.00375187550340241,"ARHGAP31/PREX2/ARHGEF5/ROCK1/CELSR1/P2RY10/DOCK3/MAPKAPK5/BRAP/MYO9B/SH3BP1/ARHGEF18/CADM4/PIK3CG/GIT1/CBL/KCTD10/RAB35/RTKN/DOK1/SOS1/RRAGC/RAB9B/RAB38/STAMBP/CDKN1A/PSD4/SH2D3A/AMOT/RHOJ/PLEKHG3/DOCK4/PLD2/EPHB2/ROCK2/LRP4/ARHGAP32/ARHGAP20/G3BP2/USO1/GIT2/RHOF/RAB15/ARHGEF19/ITPKB/GPR17/SLIT2/PLK2/ARHGAP18/LPAR4/NOTCH1/CYRIB/ELMO1/MRAS/F11R/KALRN/F2RL2/ARHGAP42/MAPRE2/CDC42EP5/ROBO1/RGS19/HEG1/ARHGAP30/BCR/SHTN1/RELN/CHML/DOK6/ARHGAP27",70
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","38/1665","225/18888",7.30625251836757e-05,0.00452848707489511,0.00382834125621385,"TNIP3/MAP2K7/MEF2C/MMP9/SERPINE1/MAPK8/GIT1/CSF3/HDAC5/NFKB1/SASH1/WNT5A/IL1A/TNFAIP3/IL1B/NR1D1/EPHB2/PTPN22/TLR4/CASP1/HADHB/MMP3/NLRP3/CXCL3/PPBP/CXCL1/CXCL8/PRKCE/MALT1/MYD88/TRIB1/BCR/ARID5A/PDCD1LG2/CARD16/TLR9/NFKBIB/PLSCR3",38
"GO:0051216","BP","GO:0051216","cartilage development","36/1665","209/18888",7.37791583116164e-05,0.00452848707489511,0.00382834125621385,"SNAI2/COL11A1/RARB/EDN1/MEF2C/NFATC2/SMAD7/FGF9/TGFB1/SOX6/WNT5B/WNT5A/EFEMP1/PRRX1/ERRFI1/MSX2/SOX9/BMP2/THRA/SOX5/MBOAT2/OSR1/ADAMTS12/STC1/NPR2/TGFBR2/ZNF219/SHOX2/CHST11/MEX3C/PTPN11/EXT1/NOG/HYAL3/COL27A1/ARID5A",36
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","68/1665","484/18888",8.01283430869847e-05,0.0048337938739572,0.00408644481162238,"CYP26B1/TMEM98/ST3GAL1/HDAC9/CBFB/GLI2/ITM2A/SMARCA2/CYLD/MSH2/DHRS2/SMAD7/IL7/TGFB1/PIK3R2/CDK6/HDAC5/IL23A/VNN1/IL1A/LOXL3/SOS1/PIK3R3/EGR1/INHBA/NCKAP1L/BATF3/IL1B/DLL4/PTPN22/TESPA1/USP44/HLX/MYC/LEF1/BRD4/DUSP10/ITPKB/ADAM8/ADAM17/MERTK/CD8A/CD1D/SLAMF8/IL6R/NLRP3/TGFBR2/IFI16/IL31RA/SOCS5/JUNB/PTGER4/PIK3CD/BCL2/MALT1/CEBPB/PTPN2/FZD8/SOX12/FES/GAS6/PBX1/ZFP36L1/ENTPD7/CARD11/HLA-B/TLR9/PLCL2",68
"GO:0022612","BP","GO:0022612","gland morphogenesis","25/1665","125/18888",8.04112512045701e-05,0.0048337938739572,0.00408644481162238,"SNAI2/LAMA1/ESRP2/TGFB1/PTN/NFKB1/AREG/FGF1/WNT5A/TNFAIP3/MSX2/SOX9/FOXA1/DDR1/MSN/NOTCH1/EDA/TGFBR2/AR/BCL2/CEBPB/CYP7B1/SCRIB/NOG/RPS6KA1",25
"GO:0006470","BP","GO:0006470","protein dephosphorylation","36/1665","210/18888",8.16344862465164e-05,0.00485725193166773,0.00410627603751274,"PPP1R12A/CTDP1/ROCK1/PPP2R3A/NUAK1/GSK3B/FKBP1A/TGFB1/CD33/PTPRZ1/PPM1G/PPP1R8/FKBP1B/NCKAP1L/PTPRB/DUSP26/PTPN22/ROCK2/PTPRQ/DUSP6/PTPRF/DUSP10/PTPRR/UBASH3B/SPPL3/DUSP2/NCK1/PPM1M/HSP90B1/PTPRM/PTPN2/PTPN11/PPP1CC/PPTC7/PPP1CB/PPP3R1",36
"GO:0007162","BP","GO:0007162","negative regulation of cell adhesion","48/1665","310/18888",8.66201329992846e-05,0.00505081995518829,0.00426991666142789,"SNAI2/NEXMIF/CBFB/PLXNA2/ARG2/FXYD5/JAG1/SMAD7/CORO2B/TGFB1/SERPINE1/LPXN/CORO1C/SH2B3/GCNT2/ADTRP/SEMA5A/CBLB/LOXL3/EPCAM/BMP2/PODXL/ACTN4/EPHB2/PTPN22/HLX/ILDR2/NOTCH1/DLG5/SPOCK1/UBASH3B/ANGPT1/PTK2/SOCS6/SOCS5/DSCAM/CEBPB/PTPN2/PAWR/PTPN11/SCRIB/ZNF703/MUC1/PELI1/PDCD1LG2/YTHDF2/HLA-E/CLDN7",48
"GO:0030217","BP","GO:0030217","T cell differentiation","48/1665","310/18888",8.66201329992846e-05,0.00505081995518829,0.00426991666142789,"CYP26B1/TMEM98/CBFB/GLI2/SMARCA2/CYLD/SMAD7/IL7/TGFB1/PIK3R2/CDK6/IL23A/VNN1/IL1A/LOXL3/SOS1/PIK3R3/EGR1/NCKAP1L/IL1B/DLL4/PTPN22/TESPA1/USP44/HLX/LEF1/BRD4/DUSP10/ITPKB/ADAM8/ADAM17/CD8A/CD1D/IL6R/NLRP3/TGFBR2/SOCS5/JUNB/PTGER4/PIK3CD/BCL2/MALT1/PTPN2/FZD8/SOX12/ZFP36L1/ENTPD7/CARD11",48
"GO:0048013","BP","GO:0048013","ephrin receptor signaling pathway","14/1665","51/18888",9.21854880336948e-05,0.00532211466063836,0.00449926670621983,"FYN/EPHA3/EFNB1/MMP9/GIT1/EPHB2/EPHA7/EPHA5/NCK1/KALRN/EFNA1/PTK2/YES1/PTPN11",14
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","46/1665","294/18888",9.35817092923497e-05,0.00534975438121266,0.00452263307137331,"KDM1A/RUFY3/PRKCH/VCAN/PLXNA2/TGFB1/PTN/PTPRZ1/CAPRIN2/SEMA5A/DBN1/CXCR4/OBSL1/MYRF/IL1B/BMP2/FLRT3/EPHB2/SKIL/AMIGO2/CRABP2/SLIT2/NOTCH1/TENM4/DLG5/DISC1/GPER1/SHOX2/IL1RAPL1/ROBO1/MAP6/DSCAM/FBXW8/AMIGO3/SLITRK1/CDH4/NRXN1/ROBO2/PPP1CC/NAP1L1/SHTN1/RELN/L1CAM/VSTM5/TWF2/CLSTN3",46
"GO:0003231","BP","GO:0003231","cardiac ventricle development","25/1665","127/18888",0.000105170406082251,0.00595387027053985,0.00503334707903097,"COL11A1/MEF2C/KCNK2/FKBP1A/DSP/JAG1/SMAD7/PPP1R13L/TGFB1/ENG/PTK7/WNT5A/DLL4/TPM1/SMAD4/SLIT2/NOTCH1/TGFBR2/TBX20/ROBO1/HEG1/NOG/SCN5A/ROBO2/RYR2",25
"GO:0035107","BP","GO:0035107","appendage morphogenesis","28/1665","150/18888",0.000110563426086711,0.00609006363882669,0.00514848369795293,"CYP26B1/PLXNA2/RARB/FGF9/DKK1/WNT5A/PRRX1/ERRFI1/MSX2/SOX9/LARGE1/LRP4/TFAP2A/FRAS1/LEF1/SMAD4/CRABP2/OSR1/AFF3/NOTCH1/NPR2/ZNF219/SHOX2/CHST11/EXT1/NOG/PBX1/ZNF358",28
"GO:0035108","BP","GO:0035108","limb morphogenesis","28/1665","150/18888",0.000110563426086711,0.00609006363882669,0.00514848369795293,"CYP26B1/PLXNA2/RARB/FGF9/DKK1/WNT5A/PRRX1/ERRFI1/MSX2/SOX9/LARGE1/LRP4/TFAP2A/FRAS1/LEF1/SMAD4/CRABP2/OSR1/AFF3/NOTCH1/NPR2/ZNF219/SHOX2/CHST11/EXT1/NOG/PBX1/ZNF358",28
"GO:0010717","BP","GO:0010717","regulation of epithelial to mesenchymal transition","24/1665","120/18888",0.000110709440184467,0.00609006363882669,0.00514848369795293,"FUZ/EPHA3/JAG1/SMAD7/TGFB1/ENG/GCNT2/TRIM62/IL1B/BMP2/FOXA1/LEF1/SMAD4/NOTCH1/ADAM8/TGFBR2/TBX20/LDLRAD4/EFNA1/PTK2/APLF/SMAD2/NOG/ZNF703",24
"GO:0072006","BP","GO:0072006","nephron development","29/1665","158/18888",0.000114757834464223,0.00617869888375435,0.00522341511749752,"SEC61A1/EDN1/MEF2C/JAG1/CALB1/LZTS2/FGF1/MPV17/EGR1/SOX9/BMP2/SIX1/PODXL/MYC/SMAD4/OSR1/KLHL3/NOTCH1/KIRREL3/ANGPT1/IL6R/DCHS1/SERPINB7/PDGFD/BCL2/MAGED1/EXT1/NOG/PBX1",29
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","39/1665","238/18888",0.000115402436009383,0.00617869888375435,0.00522341511749752,"TNIP3/MAP2K7/MEF2C/MMP9/SERPINE1/MAPK8/GIT1/CSF3/HDAC5/NFKB1/SASH1/WNT5A/IL1A/TNFAIP3/IL1B/NR1D1/EPHB2/PTPN22/TLR4/CASP1/HADHB/MMP3/CYRIB/NLRP3/CXCL3/PPBP/CXCL1/CXCL8/PRKCE/MALT1/MYD88/TRIB1/BCR/ARID5A/PDCD1LG2/CARD16/TLR9/NFKBIB/PLSCR3",39
"GO:0003209","BP","GO:0003209","cardiac atrium morphogenesis","10/1665","29/18888",0.000115499601840032,0.00617869888375435,0.00522341511749752,"ENG/WNT5A/SOS1/BMP2/DLL4/NOTCH1/TBX20/SHOX2/HEG1/NOG",10
"GO:0003148","BP","GO:0003148","outflow tract septum morphogenesis","9/1665","24/18888",0.000120947317123036,0.00641130732858568,0.0054200601539443,"ENG/NRP2/MSX2/GATA6/SMAD4/TGFBR2/TBX20/ROBO1/ROBO2",9
"GO:0042058","BP","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","16/1665","65/18888",0.000124357888933511,0.00653271036370543,0.00552269316145692,"WDR54/RAB7A/MMP9/TGFB1/AGR2/CBL/CBLB/SOS1/ERRFI1/HIP1R/MVB12A/ADAM17/GPER1/FAM83B/SOCS5/PTPN2",16
"GO:0061572","BP","GO:0061572","actin filament bundle organization","30/1665","167/18888",0.000131942038328177,0.00686923237046074,0.00580718576589149,"ARHGEF5/ROCK1/PFN2/PXN/SLC9A1/SORBS1/PLS3/CORO2B/ARHGEF18/PIK3R2/TESK1/PDLIM1/NEDD9/PHACTR1/AIF1L/ROCK2/LCP1/LIMD2/TPM1/FMN2/RHPN1/F11R/SHANK1/HSP90B1/PTGER4/SYNPO/PAWR/ESPN/SHTN1/ASAP3",30
"GO:0010718","BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","15/1665","59/18888",0.000135867518543046,0.00701100443030531,0.00592703855926487,"JAG1/TGFB1/ENG/GCNT2/IL1B/BMP2/LEF1/SMAD4/NOTCH1/ADAM8/TGFBR2/TBX20/PTK2/SMAD2/ZNF703",15
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","48/1665","316/18888",0.000139029818260882,0.00711125324806319,0.00601178798629466,"ROCK1/GCKR/TMED2/TFAP4/RASSF2/SMAD7/TGFB1/CADM4/TESK1/DKK1/CBL/CORO1C/CBLB/ERRFI1/INHBA/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/PWP1/PTPRQ/DUSP6/ARRB2/DUSP10/SLIT2/IGFBP3/C9orf72/LATS2/PID1/IMPACT/UBASH3B/ANGPT1/LRRK1/SAMSN1/NCK1/XDH/PKIG/PKIA/SOCS5/TRIB1/HEG1/PTPN2/KIRREL1/NR2F2/DMD/SRCIN1",48
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","24/1665","122/18888",0.000144812311518534,0.00734261381273538,0.00620737807635051,"ST3GAL1/ST3GAL6/CEMIP/TGFB1/NFKB1/DSE/GCNT2/B4GALT4/CHST3/CHPF/IL1B/LYG1/CHST7/CHST9/ANGPT1/B3GNT7/CHST14/HAS2/CHST11/HPSE/B3GNT3/EXT1/HYAL3/CHSY3",24
"GO:0043086","BP","GO:0043086","negative regulation of catalytic activity","63/1665","449/18888",0.000149840299207782,0.00741567625209881,0.00626914438952942,"PPP1R12A/ROCK1/GSK3B/GCKR/TMED2/FKBP1A/TFAP4/SERPIND1/TIMP3/MMP9/SMAD7/SERPINE1/TESK1/SPOCK2/NFKB1/CBL/CORO1C/CYP27B1/CBLB/ERRFI1/FKBP1B/NCKAP1L/LRP1/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/ROCK2/USP44/GABBR2/PTPRQ/RPL11/DUSP10/GZMA/NOTCH1/LATS2/SPOCK1/UBASH3B/GPSM1/IFI16/PTX3/SERPINB7/SERPINB8/PKIG/CST1/TRIAP1/PKIA/SOCS5/RPS7/TRIB1/HEG1/GAS6/NR2F2/SERPINA1/SERPINB2/CARD16/PINX1/ANXA8/SRCIN1/RPS6KA1/ATP5IF1",63
"GO:0055010","BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis","13/1665","47/18888",0.000149923440148567,0.00741567625209881,0.00626914438952942,"COL11A1/FKBP1A/DSP/SMAD7/TGFB1/ENG/DLL4/TPM1/SMAD4/NOTCH1/HEG1/NOG/RYR2",13
"GO:0045936","BP","GO:0045936","negative regulation of phosphate metabolic process","55/1665","378/18888",0.000150965094046514,0.00741567625209881,0.00626914438952942,"ROCK1/GSK3B/GCKR/TMED2/FKBP1A/TFAP4/RASSF2/SMAD7/TGFB1/CADM4/TESK1/DKK1/GIT1/CBL/CORO1C/CBLB/ERRFI1/PPP1R8/FKBP1B/INHBA/NCKAP1L/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/ROCK2/PWP1/PTPRQ/DUSP6/ARRB2/DUSP10/SLIT2/IGFBP3/C9orf72/LATS2/PID1/IMPACT/UBASH3B/ANGPT1/LRRK1/SAMSN1/NCK1/XDH/PKIG/PKIA/SOCS5/TRIB1/HEG1/PTPN2/KIRREL1/NR2F2/DMD/SRCIN1",55
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","39/1665","241/18888",0.000151340331675486,0.00741567625209881,0.00626914438952942,"EPHA3/GPM6B/NEXMIF/COL17A1/ROCK1/TESK2/CAMSAP3/GSK3B/SLC9A1/ITGA6/SORBS1/FERMT1/JAG1/MSLN/CORO2B/CDK6/SERPINE1/CORO1C/ONECUT2/PLAU/KDR/ROCK2/DDR1/PPFIA2/CDH11/ADAMTS12/UTRN/EDA/DISC1/ADAMTS9/PTK2/PLEKHA2/BCL2/HPSE/PEAK1/ANXA2/BCR/ITGBL1/L1CAM",39
"GO:0043393","BP","GO:0043393","regulation of protein binding","25/1665","130/18888",0.000155107023978709,0.00753690880683211,0.00637163327449381,"KDM1A/ROCK1/MAP2/GSK3B/FKBP1A/MMP9/MAPK8/DKK1/HDAC5/LRP1/CDKN1A/BMP2/HIP1R/DNAJB2/ARRB2/RPL11/PTPRF/SPPL3/MITD1/DISC1/PCSK9/ATP2A2/ANXA2/NOG/CARD16",25
"GO:0010563","BP","GO:0010563","negative regulation of phosphorus metabolic process","55/1665","379/18888",0.000161799613431683,0.00779713674314168,0.00659162757460262,"ROCK1/GSK3B/GCKR/TMED2/FKBP1A/TFAP4/RASSF2/SMAD7/TGFB1/CADM4/TESK1/DKK1/GIT1/CBL/CORO1C/CBLB/ERRFI1/PPP1R8/FKBP1B/INHBA/NCKAP1L/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/ROCK2/PWP1/PTPRQ/DUSP6/ARRB2/DUSP10/SLIT2/IGFBP3/C9orf72/LATS2/PID1/IMPACT/UBASH3B/ANGPT1/LRRK1/SAMSN1/NCK1/XDH/PKIG/PKIA/SOCS5/TRIB1/HEG1/PTPN2/KIRREL1/NR2F2/DMD/SRCIN1",55
"GO:0030324","BP","GO:0030324","lung development","33/1665","193/18888",0.000166592738723046,0.00796231360241052,0.00673126656980178,"GLI2/CELSR1/BAG6/LAMA1/FGF9/ESRP2/CTSH/AGR2/LTA4H/PTK7/FGF1/WNT5A/LOXL3/ERRFI1/SOX9/BMP2/THRA/KDR/FOXA1/GATA6/NOTCH1/THRB/DLG5/SIM2/TGFBR2/HHIP/HEG1/SMAD2/EXT1/ANXA2/CCBE1/NOG/PPP3R1",33
"GO:0030859","BP","GO:0030859","polarized epithelial cell differentiation","9/1665","25/18888",0.000174262769695341,0.00826118869994743,0.00698393282399044,"CAMSAP3/RAB10/SH3BP1/LAMA1/PTK7/WNT5A/MSN/DLG5/SCRIB",9
"GO:0038127","BP","GO:0038127","ERBB signaling pathway","25/1665","131/18888",0.000175914040156092,0.00827221587217882,0.00699325509381137,"WDR54/RAB7A/MMP9/TGFB1/AGR2/AREG/CBL/CBLB/EFEMP1/SOS1/ERRFI1/SOX9/HIP1R/MVB12A/FAM83A/SHC3/ADAM17/PTPRR/NPR2/GPER1/FAM83B/PTK2/SOCS5/PTPN2/PTPN11",25
"GO:0060317","BP","GO:0060317","cardiac epithelial to mesenchymal transition","11/1665","36/18888",0.000182444005317436,0.00851064796004776,0.00719482338443413,"SNAI2/JAG1/ENG/MSX2/BMP2/SMAD4/NOTCH1/TGFBR2/EFNA1/HAS2/NOG",11
"GO:0060415","BP","GO:0060415","muscle tissue morphogenesis","17/1665","74/18888",0.000192203442535037,0.00889474820176031,0.00751953819040582,"COL11A1/FKBP1A/DSP/SMAD7/TGFB1/ENG/WNT5A/BMP2/DLL4/TPM1/SMAD4/NOTCH1/TBX20/SHOX2/HEG1/NOG/RYR2",17
"GO:0033627","BP","GO:0033627","cell adhesion mediated by integrin","19/1665","88/18888",0.000198066154659265,0.00909388777809587,0.00768788895374504,"SNAI2/NEXMIF/ICAM1/ITGA6/FERMT1/PIK3CG/SERPINE1/LPXN/PLAU/NCKAP1L/PODXL/EMILIN2/ADAM17/EFNA1/PTK2/PTPN11/EXT1/MUC1/ITGBL1",19
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","29/1665","163/18888",0.000201229310670618,0.00916693836344044,0.00774964524564561,"ARHGEF5/ROCK1/PFN2/PXN/SLC9A1/SORBS1/PLS3/CORO2B/ARHGEF18/PIK3R2/TESK1/PDLIM1/NEDD9/PHACTR1/AIF1L/ROCK2/LCP1/LIMD2/TPM1/FMN2/RHPN1/F11R/SHANK1/HSP90B1/PTGER4/SYNPO/PAWR/ESPN/ASAP3",29
"GO:0060541","BP","GO:0060541","respiratory system development","36/1665","220/18888",0.000213236192624411,0.00957569319806744,0.00809520281734646,"GLI2/CELSR1/BAG6/LAMA1/FGF9/ESRP2/CTSH/AGR2/LTA4H/PTK7/FGF1/WNT5A/LOXL3/ERRFI1/SOX9/BMP2/THRA/SIX1/KDR/FOXA1/LEF1/GATA6/NOTCH1/THRB/DLG5/EDA/SIM2/TGFBR2/HHIP/HEG1/SMAD2/EXT1/ANXA2/CCBE1/NOG/PPP3R1",36
"GO:0002065","BP","GO:0002065","columnar/cuboidal epithelial cell differentiation","24/1665","125/18888",0.000213486557322718,0.00957569319806744,0.00809520281734646,"ZNF800/RARB/GSK3B/JAG1/TGFB1/CDK6/SERPINE1/AGR2/WNT5A/CDKN1A/SOX9/BMP2/FOXA1/ENAM/FST/LEF1/GATA6/NOTCH1/DLG5/IL31RA/CEBPB/SMAD2/EXT1/TLR9",24
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","51/1665","348/18888",0.000216186624590932,0.00958647076451483,0.008104314072737,"TNIP3/PTGS2/MAP2K7/EDN1/MEF2C/MMP9/SERPINE1/MAPK8/GIT1/CSF3/HDAC5/NFKB1/CYP27B1/SASH1/WNT5A/IL1A/TNFAIP3/IL1B/NR1D1/LOXL1/AKAP12/EPHB2/PTPN22/TLR4/CASP1/HADHB/DUSP10/NOTCH1/ADM/MMP3/ADAM17/NLRP3/CXCL3/PPBP/CXCL1/CXCL8/PRKCE/PTGER4/MALT1/CEBPB/MYD88/TRIB1/BCR/ARID5A/PELI1/PDCD1LG2/CARD16/DIO2/TLR9/NFKBIB/PLSCR3",51
"GO:0001933","BP","GO:0001933","negative regulation of protein phosphorylation","45/1665","296/18888",0.000217014944420504,0.00958647076451483,0.008104314072737,"TMED2/TFAP4/RASSF2/SMAD7/TGFB1/CADM4/TESK1/DKK1/CBL/CORO1C/CBLB/ERRFI1/CDKN1A/IL1B/BMP2/PTPRB/EPHB2/PTPN22/PWP1/PTPRQ/DUSP6/ARRB2/DUSP10/SLIT2/IGFBP3/C9orf72/LATS2/PID1/IMPACT/UBASH3B/ANGPT1/LRRK1/SAMSN1/NCK1/XDH/PKIG/PKIA/SOCS5/TRIB1/HEG1/PTPN2/KIRREL1/NR2F2/DMD/SRCIN1",45
"GO:0007272","BP","GO:0007272","ensheathment of neurons","28/1665","156/18888",0.000220728647309645,0.00960499061539211,0.00811997058406182,"TMEM98/CNTN1/RNF10/GPM6B/RARB/EPB41L3/NDRG1/PTN/PTPRZ1/CNTNAP1/PPARD/FIG4/SOS1/B4GALT6/CXCR4/PLP1/MYRF/WASF3/LARGE1/LPIN1/NAB1/AFG3L2/MAL2/TENM4/TMEM163/MARVELD1/SCN8A/PPP3R1",28
"GO:0008366","BP","GO:0008366","axon ensheathment","28/1665","156/18888",0.000220728647309645,0.00960499061539211,0.00811997058406182,"TMEM98/CNTN1/RNF10/GPM6B/RARB/EPB41L3/NDRG1/PTN/PTPRZ1/CNTNAP1/PPARD/FIG4/SOS1/B4GALT6/CXCR4/PLP1/MYRF/WASF3/LARGE1/LPIN1/NAB1/AFG3L2/MAL2/TENM4/TMEM163/MARVELD1/SCN8A/PPP3R1",28
"GO:0042303","BP","GO:0042303","molting cycle","23/1665","118/18888",0.000227483427053395,0.00973349779081878,0.00822860936634582,"FUZ/PTGS2/GLI2/FERMT1/PPP1R13L/DKK1/WNT5A/SOS1/MSX2/INHBA/SOX9/FST/LRP4/SMAD4/LRIG1/NOTCH1/EDA/LDB2/BCL2/HPSE/EXT1/KRT14/KRTAP4-9",23
"GO:0042633","BP","GO:0042633","hair cycle","23/1665","118/18888",0.000227483427053395,0.00973349779081878,0.00822860936634582,"FUZ/PTGS2/GLI2/FERMT1/PPP1R13L/DKK1/WNT5A/SOS1/MSX2/INHBA/SOX9/FST/LRP4/SMAD4/LRIG1/NOTCH1/EDA/LDB2/BCL2/HPSE/EXT1/KRT14/KRTAP4-9",23
"GO:0003188","BP","GO:0003188","heart valve formation","7/1665","16/18888",0.000228689623965387,0.00973349779081878,0.00822860936634582,"SOX9/CDH11/SMAD4/NOTCH1/TBX20/DCHS1/EFNA1",7
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis","39/1665","246/18888",0.000234097756355531,0.00989147838629782,0.00836216470642982,"KDM1A/RUFY3/PRKCH/VCAN/PLXNA2/TGFB1/PTN/PTPRZ1/CAPRIN2/SEMA5A/DBN1/CXCR4/OBSL1/MYRF/IL1B/BMP2/EPHB2/SKIL/CRABP2/SLIT2/NOTCH1/TENM4/DISC1/GPER1/SHOX2/IL1RAPL1/ROBO1/MAP6/DSCAM/FBXW8/SLITRK1/CDH4/ROBO2/PPP1CC/NAP1L1/SHTN1/RELN/L1CAM/TWF2",39
"GO:0033628","BP","GO:0033628","regulation of cell adhesion mediated by integrin","13/1665","49/18888",0.000236932457759019,0.00993923137548804,0.00840253464358564,"SNAI2/NEXMIF/FERMT1/PIK3CG/SERPINE1/LPXN/PLAU/NCKAP1L/PODXL/EFNA1/PTK2/PTPN11/MUC1",13
